64-330 Opalenica ul. Wyzwolenia 20
60-580 Poznań os. Wichrowe Wzgórze 5 lok. 114
ul. Lipowa 17 Rokietnica 37-562
62-079 Tarnowo Podgórne ul. Poznańska 66 /1
ul. Kraszewskiego 13 Poznań 60-995
ul. Sikorskiego paw. 1 Luboń 62-030
ul. Szwajcarska 14 Poznań 61-588
60-758 Poznań ul. Mickiewicza 33
ul. ks. Malinowskiego 9 Komorniki 62-052
62-600 Koło ul. 3 Maja 20
ul. Górnośląska 8 Kalisz 62-806
ul. Naramowicka 31 a/105 Poznań 61-435
62-019 Swarzędz os. Cegielskiego 30
61-337 Poznań ul. Głuszyna 49
00-000 Giewartów ul. Lotników Polskich 1a
ul. Wojciechowskiego 33a Krotoszyn 63-700
89-121 Ślesin ul. Żwirki i Wigury 16
ul. Władysława Jagiełły 18 Pobiedziska 62-010
00-000 Błotnica ul. Szkolna 15
ul. Pniewska 40 Poznań 61-739
60-277 Poznań os. Bolesława Chrobrego pawilon 110
64-310 Lwówek Al. Sczanieckiej 81
ul. Kiszkowska 43 Pobiedziska 62-010
62-040 Puszczykowo ul. Kraszewskiego 6
ul. Jana Pawła II 61 Duszniki 64-550
Wieszkowo 48
ul. Wierzbięcice 27 Poznań 61-895
62-040 Puszczykowo ul. Dworcowa 58
ul. Kaliska 9 Sompolno 62-610
61-483 Poznań ul. Piątkowska 112C lok. 4
64-000 Kościan al. Kościuszki 25a
62-500 Konin ul. Hiacyntowa 1 lok. 9s
64-105 Leszno ul. Zielona 14
ul. Średnia 18 Rawicz 63-901
os. Czecha 97a Poznań 61-627
ul. Słowackiego 33 Margonin 64-830
os. Pod Lipami 15H Poznań 61-528
62-601 Koło ul. Toruńska 53
ul. Hallera 3b Jarocin 63-201
ul. Żurawia 4 /3 Poznań 61-070
63-800 Gostyń ul. Poznańska 200
ul. Warszawska 36 Kępno 63-600
ul. Średzka 36 lok. 1 Kostrzyn 62-025
62-100 Wągrowiec ul. Daleka 10
ul. Leszka 33a Poznań 60-407
